Kernel  	  C	  eps	gamma  	  degree	  opt tol	  tr/val split	  train avg mse	  train std mse	  test avg mse	test std mse  	  train avg mae	  train std mae	  test avg mae	  test std mae
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.07135 	              0	      0.960171	0.0           	       0.73518 	              0	      0.683065	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.19205 	              0	      1.21698 	0.0           	       0.864828	              0	      0.875497	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.34452 	              0	      1.25009 	0.0           	       1.01881 	              0	      0.969465	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.11974 	              0	      1.17161 	0.0           	       0.925613	              0	      0.942886	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.30125 	              0	      1.29735 	0.0           	       0.996222	              0	      0.988617	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.978965	              0	      0.98666 	0.0           	       0.862445	              0	      0.872183	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.09262 	              0	      1.04397 	0.0           	       0.870602	              0	      0.842582	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.876766	              0	      0.864763	0.0           	       0.745433	              0	      0.751701	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.822112	              0	      0.857692	0.0           	       0.773367	              0	      0.787898	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.858083	              0	      0.810222	0.0           	       0.66515 	              0	      0.649928	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.02228 	              0	      1.13787 	0.0           	       0.865682	              0	      0.905398	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.09441 	              0	      1.03675 	0.0           	       0.910155	              0	      0.892258	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.904379	              0	      0.957756	0.0           	       0.823218	              0	      0.852346	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.07371 	              0	      1.08846 	0.0           	       0.901547	              0	      0.917496	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.730487	              0	      0.740045	0.0           	       0.701198	              0	      0.71329 	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.03058 	              0	      1.01126 	0.0           	       0.889018	              0	      0.88029 	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.951813	              0	      0.798806	0.0           	       0.719363	              0	      0.648159	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.846996	              0	      0.829316	0.0           	       0.673629	              0	      0.663559	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.07482 	              0	      1.08845 	0.0           	       0.817822	              0	      0.834112	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.03175 	              0	      0.977548	0.0           	       0.890759	              0	      0.866723	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.06729 	              0	      1.03775 	0.0           	       0.904594	              0	      0.891732	             0
